last_energy,proposed_energy
-27913.523411661437,-27913.674579688857
-27913.674579688857,-27912.94539867621
-27913.674579688857,-27913.816048466775
-27913.816048466775,-27913.512965397626
-27913.816048466775,-27913.827143600818
-27913.827143600818,-27913.709272502947
-27913.827143600818,-27913.77445150251
-27913.77445150251,-27913.66599260248
-27913.66599260248,-27913.15396222818
-27913.66599260248,-27913.174363569364
-27913.66599260248,-27913.35709866615
-27913.35709866615,-27913.35709866615
-27913.35709866615,-27913.212607054502
-27913.212607054502,-27913.121054939667
-27913.212607054502,-27913.105230713245
-27913.212607054502,-27913.171118397262
-27913.171118397262,-27912.907813752092
-27912.907813752092,-27913.067692500004
-27913.067692500004,-27912.857594603145
-27913.067692500004,-27913.13193451517
-27913.13193451517,-27912.889353012466
-27913.13193451517,-27912.719925799778
-27913.13193451517,-27912.54263219211
-27913.13193451517,-27913.171386651524
-27913.171386651524,-27912.671176822536
-27913.171386651524,-27912.841769038823
-27913.171386651524,-27912.47154446425
-27913.171386651524,-27913.20236129459
-27913.20236129459,-27912.85207432497
-27913.20236129459,-27912.841343409906
-27913.20236129459,-27912.740989495287
-27912.740989495287,-27912.97495829808
-27912.97495829808,-27912.51758402023
-27912.97495829808,-27912.56696128765
-27912.97495829808,-27912.75079777556
-27912.97495829808,-27912.894296162878
-27912.97495829808,-27912.45252407236
-27912.97495829808,-27912.82900521511
-27912.97495829808,-27913.132084139488
-27913.132084139488,-27912.813399468338
-27913.132084139488,-27913.16532726868
-27913.16532726868,-27912.7059029307
-27913.16532726868,-27913.17603080999
-27913.17603080999,-27912.807343231387
-27913.17603080999,-27913.14627266486
-27913.17603080999,-27912.880098859077
-27913.17603080999,-27913.060168911972
-27913.060168911972,-27913.023211053955
-27913.060168911972,-27912.79250056728
-27913.060168911972,-27912.808095357006
-27913.060168911972,-27912.700561936686
-27913.060168911972,-27912.808095357006
-27913.060168911972,-27913.117856645888
-27913.117856645888,-27913.14163666316
-27913.14163666316,-27913.14163666316
-27913.14163666316,-27913.000698064272
-27913.000698064272,-27912.757470575427
-27913.000698064272,-27912.899967911202
-27912.899967911202,-27912.580865676377
-27912.899967911202,-27912.737743695645
-27912.899967911202,-27912.451164960552
-27912.899967911202,-27912.025109254944
-27912.899967911202,-27912.636337539756
-27912.899967911202,-27912.64872470745
-27912.64872470745,-27912.64872470745
-27912.64872470745,-27912.643459908657
-27912.643459908657,-27912.890570304746
-27912.890570304746,-27912.70688374678
-27912.890570304746,-27913.08025139095
-27913.08025139095,-27912.57254414555
-27913.08025139095,-27913.287301394543
-27913.287301394543,-27913.152405632274
-27913.287301394543,-27913.267214894553
-27913.267214894553,-27913.102517066516
-27913.267214894553,-27912.93419775039
-27913.267214894553,-27912.546831222895
-27913.267214894553,-27913.205055120783
-27913.267214894553,-27912.78122300135
-27913.267214894553,-27913.325367112033
-27913.325367112033,-27913.381837324923
-27913.381837324923,-27913.425338204597
-27913.425338204597,-27913.195307137466
-27913.425338204597,-27913.51049470369
-27913.51049470369,-27913.15495612613
-27913.51049470369,-27913.40173943392
-27913.40173943392,-27912.768673731203
-27913.40173943392,-27913.09424828842
-27913.40173943392,-27913.134334465434
-27913.40173943392,-27913.06115506522
-27913.40173943392,-27913.11637982712
-27913.40173943392,-27913.175645091716
-27913.40173943392,-27913.09424828842
-27913.09424828842,-27913.072811779628
-27913.072811779628,-27912.433860132835
-27913.072811779628,-27913.0710637233
-27913.0710637233,-27913.17121869492
-27913.17121869492,-27913.05551346067
-27913.17121869492,-27913.305629420247
-27913.305629420247,-27912.745062131733
-27913.305629420247,-27913.32035175284
-27913.32035175284,-27913.193727957696
-27913.193727957696,-27912.96323508453
-27913.193727957696,-27912.82001789583
-27913.193727957696,-27912.860930316932
-27913.193727957696,-27913.184818720256
-27913.184818720256,-27912.71947482988
-27913.184818720256,-27912.87510727058
-27913.184818720256,-27912.826029343356
-27913.184818720256,-27913.124820005287
-27913.124820005287,-27912.93771387633
-27912.93771387633,-27912.9993758679
-27912.9993758679,-27912.764131457807
-27912.9993758679,-27912.84082270037
-27912.9993758679,-27912.49733889706
-27912.9993758679,-27913.241987594643
-27913.241987594643,-27912.49646145706
-27913.241987594643,-27912.826522348074
-27913.241987594643,-27913.19028627603
-27913.241987594643,-27912.325657887544
-27913.241987594643,-27913.125025923146
-27913.241987594643,-27913.217212973792
-27913.241987594643,-27912.77971035389
-27913.241987594643,-27912.85311469853
-27913.241987594643,-27913.220015815627
-27913.220015815627,-27912.894644069398
-27913.220015815627,-27912.698212621515
-27913.220015815627,-27912.35173306981
-27913.220015815627,-27913.099163626248
-27913.220015815627,-27913.083437928202
-27913.220015815627,-27913.543364725527
-27913.543364725527,-27913.483291696924
-27913.543364725527,-27913.721347723644
-27913.721347723644,-27913.53171985237
-27913.721347723644,-27913.374302062042
-27913.721347723644,-27913.47886168782
-27913.721347723644,-27913.44025974864
-27913.721347723644,-27913.651374831254
-27913.651374831254,-27913.18491473141
-27913.651374831254,-27913.59490001715
-27913.59490001715,-27913.097617948086
-27913.59490001715,-27913.44056308484
-27913.44056308484,-27913.333656207546
-27913.333656207546,-27912.763445369932
-27913.333656207546,-27912.954550484526
-27913.333656207546,-27912.84525317579
-27913.333656207546,-27913.120832403518
-27913.333656207546,-27913.12462432462
-27913.333656207546,-27912.492127960657
-27913.333656207546,-27913.27096083656
-27913.27096083656,-27912.923051338475
-27913.27096083656,-27913.049252142442
-27913.27096083656,-27913.025729480956
-27913.27096083656,-27913.19429204487
-27913.27096083656,-27912.685553907555
-27913.27096083656,-27912.92062594644
-27913.27096083656,-27913.301997552866
-27913.301997552866,-27913.427336705092
-27913.427336705092,-27913.106883974666
-27913.427336705092,-27913.437732568706
-27913.437732568706,-27913.207455623033
-27913.437732568706,-27913.425067936565
-27913.425067936565,-27913.284045059827
-27913.425067936565,-27913.28459876281
-27913.28459876281,-27912.677588589184
-27913.28459876281,-27913.23441640303
-27913.23441640303,-27912.98520672944
-27912.98520672944,-27913.076365106994
-27913.076365106994,-27912.72967239744
-27913.076365106994,-27912.84125662184
-27913.076365106994,-27912.814700662217
-27913.076365106994,-27912.69061013883
-27913.076365106994,-27913.068470779996
-27913.068470779996,-27913.126990648307
-27913.126990648307,-27912.69444131748
-27913.126990648307,-27913.11291574718
-27913.11291574718,-27912.788457300467
-27913.11291574718,-27913.55296064387
-27913.55296064387,-27913.20134211306
-27913.55296064387,-27913.45491041634
-27913.55296064387,-27913.481397391446
-27913.55296064387,-27913.372790623445
-27913.55296064387,-27913.781189823367
-27913.781189823367,-27913.781189823367
-27913.781189823367,-27913.513024728272
-27913.781189823367,-27913.644331000058
-27913.781189823367,-27913.637563570068
-27913.781189823367,-27913.66619514644
-27913.66619514644,-27913.530668863234
-27913.66619514644,-27913.795098284674
-27913.795098284674,-27913.444145513404
-27913.795098284674,-27913.212397991134
-27913.795098284674,-27913.525863068986
-27913.795098284674,-27913.644737334813
-27913.795098284674,-27913.7899860491
-27913.7899860491,-27913.38772390687
-27913.7899860491,-27913.49565651507
-27913.7899860491,-27913.664965869342
-27913.7899860491,-27913.642484754953
-27913.642484754953,-27913.537613574812
-27913.537613574812,-27913.16579189686
-27913.537613574812,-27914.15557514391
-27914.15557514391,-27913.47685020098
-27914.15557514391,-27914.062309284534
-27914.062309284534,-27913.81430467934
-27914.062309284534,-27914.08434761696
-27914.08434761696,-27914.17897600339
-27914.17897600339,-27913.915257358483
-27914.17897600339,-27913.78500815043
-27914.17897600339,-27913.800446462614
-27914.17897600339,-27913.713774714302
-27914.17897600339,-27913.979569562754
-27913.979569562754,-27913.490343028527
-27913.979569562754,-27913.83353200237
-27913.83353200237,-27912.876029853607
-27913.83353200237,-27913.729314464344
-27913.83353200237,-27913.544550419996
-27913.83353200237,-27913.695255225444
-27913.83353200237,-27913.525698946152
-27913.83353200237,-27913.695160763178
-27913.695160763178,-27913.520864794675
-27913.695160763178,-27912.977989850948
-27913.695160763178,-27913.05923825062
-27913.695160763178,-27913.814387811377
